Agency,AwardDescription,Length,,,,
Education,OFFICE OF THE CHIEF PRIVACY OFFICE SUPPORT SERVICES,51,,,,
Education,THIS REQUIREMENT IS TO ACQUIRE A SUITE OF MICROSOFT DESKTOP AND SERVER LICENSES THAT SUPPORT THE DEPARTMENT OF EDUCATIONS DAY-TO-DAY FUNCTION.,142,,,,
Education,THIS IS TO ACQUIRE MICROSOFT MICROSOFT DESKTOP AND SERVER LICENSES.,67,,,,
Education,THE PURPOSE OF THIS REQUIREMENT IS TO ACQUIRE ADOBE CREATIVE CLOUD LICENSES.,76,,,,
Education,THE PURPOSE OF THIS REQUIREMENT IS TO ACQUIRE A MICROSOFT ENTERPRISE LICENSE AGREEMENT AND SUPPORTING MICROSOFT LICENSES AND SUPPORT SERVICES.,142,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE PERIOD OF PERFORMANCE IN CPSS AS STATED IN MODIFICATION P00001 EFFECTIVE FEBRUARY 17, 2020 THROUGH FEBRUARY 16, 2021",166,,,,
Education,THE PURPOSE OF THIS REQUIREMENT IS TO ESTABLISH AND ENTERPRISE LICENSE AGREEMENT FOR THE DEPARTMENT TO CENTRALIZE ITS SOFTWARE LICENSES PROCUREMENTS.,149,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO ISSUE A ""NO COST"" SETTLEMENT FOR TASK ORDER NO. 91003119F0360 UNDER BPA NO. 91003119A0011. THE GOVERNMENT NO LONGER HAS A NEED FOR SENIOR AND JUNIOR CONTRACT SPECIALISTS AND DE-OBLIGATE FUNDS.",231,,,,
Education,"REGIONAL EDUCATIONAL LABORATORY PACIFIC. THE PURPOSE OF THIS CONTRACT IS TO PROVIDE RESEARCH, TECHNICAL ASSISTANCE, AND INFORMATION DISSEMINATION TO STAKEHOLDERS IN THE REGION.",176,,,,
Education,PROVIDES A GOVERNMENT TO CITIZEN CUSTOMER CONTACT CENTER THAT PRIMARILY SERVES STUDENTS AND PARENTS INVOLVED WITH FEDERAL STUDENT AID/STUDENT LOANS.,148,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE DELIVERABLES UNDER SECTION 13 FOR DELIVERABLES.,97,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE SECTION 14 - PRICING TABLE AND REMOVE THE CEILING AMOUNTS FOR EACH CLINS.,119,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO REVISE AND CLARIFY THE DELIVERABLES TABLE.,81,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE OF THIS BPA CALL AND TO ADD DELIVERABLES TO PRODUCE THE STUDENT LOAN CREDIT MODEL OUTPUTS, MAKE MODEL ENHANCEMENTS, AND EXECUTE THE MODEL TO PRODUCE QUARTERLY VALUATIONS.",242,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO MODIFY THE DELIVERABLES ON THIS BPA CALL.,80,,,,
Education,FISMA,5,,,,
Education,"DEBT MANAGEMENT AND COLLECTIONS SYSTEM - DMCS. THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE ADDITIONAL FUNDS FOR CHANGE REQUEST CR 4753, CEMS BORROWER DEFENSE ENHANCEMENTS IMPACTING SERVICERS, CR 4280, BORROWER DEFENSE DISCHARGE AND CR 4619, BDD STOP COLLECTION.",265,,,,
Education,"DEBT MANAGEMENT AND COLLECTIONS SYSTEM - DMCS. THE PURPOSE OF THIS MODIFICATION IS TO MAKE CHANGES TO DELIVERABLES AND CREATE A THIRD LETTER MAILING TO EMPLOYERS WHO CONTINUE TO GARNISH BORROWER WAGES UNDER CHANGE REQUEST CR 5478, NATIONAL EMERGENCY 2020 - STOP DEFAULT COLLECTION ACTIVITY.",290,,,,
