awarding_agency_name,award_description
ENVIRONMENTAL PROTECTION AGENCY (EPA),"DATA VALIDATION SERVICES NEW ESAT CONTRACT CONTRACT NUMBER 68HE0121D0002 MAY 1 2021 - FEB 17 2026  ALTERNATE TOCOR WARREN FORTUNE  EST $779,000 MAY 1 2021 - FEB 17 2022   400 ALIQUOTS/WEEK OF ROUTINE DATA VALIDATION, UP TO PERIOD OF PERFORMANCE"
DEPARTMENT OF JUSTICE (DOJ),NEW NPS INSTALL PROJECT
DEPARTMENT OF DEFENSE (DOD),AWARD OF MODELING INTELLIGENT MACHINES IN COMPLEX ENVIRONMENT (MIMIC)
DEPARTMENT OF DEFENSE (DOD),"FUNDING FOR MATERIAL ACQUISITION, REMANUFACTURING AND FABRICATION, ENGINEERING AND TECHNICAL SUPPORT, TRANSPORTATION AND TRAVEL FOR KOREA SUPPORT"
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::CL,CT::IGF: PROTECTIVE SECURITY OFFICER (PSO) SERVICES AT DC0424, DC0045, AND VA0352"
DEPARTMENT OF JUSTICE (DOJ),ICI - SENEGAL - ATS-G
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0289-15; E-074-2007/0-AU-12; SCHLOM; PATENT LEGAL SERVICE; (CHATTERJEE)
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"IGF::OT::IGF SERVICES TO IMPROVE PERFORMANCE MANAGEMENT, ENHANCE LEARNING AND EVALUATION (SIMPLE)"
DEPARTMENT OF JUSTICE (DOJ),PARALEGAL II
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"DEPUTY TEAM LEADER, ACQUISITION AND MANAGEMENT TEAM, PROGRAM SUPPORT DIVISION"
DEPARTMENT OF DEFENSE (DOD),IGF::CT::IGF
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES FOR EA-18G AIRCRAFT SOFTWARE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"THIS BPA CALL ORDER WILL PROVIDE OFM WITH SERVICES TO SUPPORT THE CONTINUED OPERATION, AND UPDATING OF BUSINESS PROCESSES, SUPPORTING AUTOMATED TOOLS AND RELATED DOCUMENTATION."
DEPARTMENT OF COMMERCE (DOC),FINANCIAL PORTFOLIO REVIEW FOR NOAA FISHERIES OFFICE OF MANAGEMENT AND BUDGET
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),THE NASA ADVANCED AIR TRANSPORT TECHNOLOGY PROJECT IS SEEKING TO DEMONSTRATE PRACTICAL IMPLEMENTATIONS OF ACTIVE FLOW CONTROL TECHNOLOGY THAT CAN LEAD TO A REDUCTION IN FUEL CONSUMPTION AND LOWER EMISSIONS FOR MODERN COMMERCIAL TRANSPORT AIRPLANES
NATIONAL SCIENCE FOUNDATION (NSF),ANALYTICAL AND TECHNICAL SUPPORT SERVICES CONTRACT FOR NCSES
ENVIRONMENTAL PROTECTION AGENCY (EPA),ESAT R6- TASK ORDER 06: HOMELAND SECURITY ANALYTICAL SUPPORT IGF::OT::IGF
DEPARTMENT OF JUSTICE (DOJ),BPA FOR OJP/BJS PEER REVIEW SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"CMS IS SEEKING TO MAINTAIN AND ALSO MODERNIZE MEPBS APPLICATIONS. IN ADDITION, CMS IS AUTOMATING MANUAL BUSINESS PROCESSES AND REPLACING BATCH FILE SUBMISSIONS AND DATA DISSEMINATION."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),SR-BIO.0153-18; E-001-2017/1-PCT-01; KANEKIYO; PATENT LEGAL SERVICE; (PETRIK)
DEPARTMENT OF JUSTICE (DOJ),PROFESSIONAL SERVICES BPA CALL
DEPARTMENT OF THE INTERIOR (DOI),"IGF::OT::IGF NEW CONTRACT FOR DHS R&D ""SENSS: SDN SECURITY SERVICE"" TO DETECT AND MITIGATE A LARGE VARIETY OF DISTRIBUTED DENIAL OF SERVICE ATTACKS ON PRIVATE AND GOVERNMENT NETWORKS."
NUCLEAR REGULATORY COMMISSION (NRC),IV&V TASK ORDER FOR THE COMPUTER SECURITY OFFICE.
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"NATIONAL-LEVEL CONFERENCE ON TOPICS INCLUDING FATHERHOOD, MARRIAGE, AND EMPLOYMENT (FME CONFERENCE)"
DEPARTMENT OF THE INTERIOR (DOI),TASK ORDER FOR CORTICON SOFTWARE CONSULTING AND TRAINING SERVICES.
ENVIRONMENTAL PROTECTION AGENCY (EPA),"THIS TASK ORDER SHALL BE USED FOR ORDERING ESAT CONTRACTOR SERVICES TO SUPPORT THE EPA PROGRAMS THAT ARE ADMINISTERED BY THE REGION 4 WATER DIVISION (WD); SURFACE WATER PROTECTION, WETLANDS, MARINE POLLUTION, DRINKING WATER PROGRAMS, AND ANY OTHER RE"
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"ONE NASA COST ENGINEERING DATABASE -SUPPORT INCLUDES SOFTWARE DEVELOPMENT AND SYSTEMS ADMINISTRATION AND WILL CONTINUE THE PROCESS OF MAINTAINING ONCE, INCREMENTALLY IMPROVING ONCE DATABASE FEATURES, ADDING COMPLETED CADRE DATA TO THE DATABASE, ETC."
DEPARTMENT OF TRANSPORTATION (DOT),CAPE WRATH FY21 MAJOR M&C CLAIMS C CGS-WRA21-7004C
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-KS-CHM.0040-18; E-013-2010/0-CA-05; WAINER; PATENT LEGAL SERVICE; (GIRARDS) CLN 2-KS-CHM.0041-18; E-013-2010/0-US-10; WAINER; PATENT LEGAL SERVICE; (GIRARDS)
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),IGF::CT::IGF CRITICAL FUNCTIONS  THE EDC/DR BUNDLES THE CURRENT DATACENTER AND DISASTER RECOVERY REQUIREMENTS TO CAPITALIZE ON CLOUD-BASED TECHNOLOGY GAINS OVER THE PAST 5 YEARS WHEREBY CLOUD SERVICE PROVIDERS PROVIDE CLOUD-BASED VIRTUAL DATACENTER AND OFFER DISASTER RECOVERY.
SOCIAL SECURITY ADMINISTRATION (SSA),"IGF::CL::IGF   TIME AND MATERIALS (T&M) TASK ORDER 18 AGAINST THE INFORMATION TECHNOLOGY SUPPORT SERVICES CONTRACT (ITSSC), CONTRACT NUMBER SS00-10-60113, WITH ACCENTURE FEDERAL SERVICES, FOR CONTRACTOR SUPPORT WITH TECHNICAL AREA 7 (EMERGING TECHNOLOGY APPLICATIONS).  THIS TASK ORDER WILL SUPPORT 9 SUBTASKS."
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),SUPPORT SERVICES
DEPARTMENT OF COMMERCE (DOC),"NOAA FISHERIES/GARFO,OUTREACH SUPPORT SERVICES"
DEPARTMENT OF DEFENSE (DOD),LOGISTICS SUPPORT
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),TO IMPLEMENT PMI FOR STATE TASK ORDER-3 HEALTH ACTIVITIES.
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF THE INTERIOR (DOI),ORWA TECHNICAL WRITING FOR LAND RECORDS MODERNIZATION PROJECTS 2020
ENVIRONMENTAL PROTECTION AGENCY (EPA),"68HERC20D0018 TASK ORDER FOR MODEL, MACHINE, FABRICATION, AND ELECTRONIC SHOP SUPPORT"
DEPARTMENT OF TRANSPORTATION (DOT),911  PREVIOUSLY 18RQ000130
DEPARTMENT OF DEFENSE (DOD),INFORMATION TECHNOLOGY CAPABILITIES CONTRACT (ITCC) II PROJECT FY21-134 DIGITAL NORTHSTAR TRANSITION
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE OBJECTIVE OF THIS PROJECT IS TO PROVIDE LEAD/SENIOR PATIENT CARE COORDINATOR IN RESEARCH SERVICES.
ENVIRONMENTAL PROTECTION AGENCY (EPA),NEW TASK ORDER PACKAGE UNDER RTP ON-SITE CONTRACT - MICROBIOLOGY LABORATORY SUPPORT HOMELAND SECURITY AND MATERIALS MANAGEMENT DIVISION
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF SERVICES IN SUPPORT OF PMA-209 FOR AVIATION CAPABILITIES INTEGRATION SYSTEMS TEAM (ACIST)/COMMON SYSTEMS INTEGRATION SYSTEMS (CSIL) SUPPORT
DEPARTMENT OF JUSTICE (DOJ),IGF::OT::IGF GENERAL CLERK II SERVICE
DEPARTMENT OF HOMELAND SECURITY (DHS),RISK MAP TASK ORDER W/STARR II
DEPARTMENT OF COMMERCE (DOC),ADMIN SUPPORT
DEPARTMENT OF TRANSPORTATION (DOT),SPECIAL PROJECT - REVIEW AND RECONCILIATION OF SELECT FHWA CONTRACTS
DEPARTMENT OF TRANSPORTATION (DOT),CAPE VINCENT PCS-VIN19-TOPDA - FY19 TOP DOWN PROJECT A
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"IGF::OT::IGF PROTOCOL 15-0020: TARGETED REDUCTION OF ANTIBIOTICS USING PROCALCITONIN IN A MULTI-CENTER, RANDOMIZED, BLINDED, PLACEBO-CONTROLLED NON-INFERIORITY STUDY OF AZITHROMYCIN TREATMENT IN OUTPATIENT ADULTS WITH SUSPECT LOWER RESPIRATORY TRACT INFECTION (LRTI) AND A PROCALCITONIN LEVEL OF<0.1 NG/ML (TRAP-LRTI)."
DEPARTMENT OF TRANSPORTATION (DOT),TECHNICAL&ENGINEERING SUPPORT
DEPARTMENT OF DEFENSE (DOD),GARDEM OPERATIONS AND MAINTENANCE FIELD SUPPORT FOR COMBATANT COMMANDS
DEPARTMENT OF AGRICULTURE (USDA),SENIOR FOREST POLICY ADVISOR  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF COMMERCE (DOC),SCDAD TECHNICAL SUPPORT - SDI NG BRIDGE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LVM-CHM.0034-18; E-069-2000/2-US-13; BLYE; PATENT LEGAL SERVICE; (VATHYAM)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF TTC-BIO.0054-15; E-336-2008/0-CA-03; HO; PATENT LEGAL SERVICE
DEPARTMENT OF DEFENSE (DOD),SEAPORT ENHANCED
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF DIGITAL ELECTRONICS AND AGILE CODING FOR OPERATIONAL NEEDS (DEACON)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"BEHAVIORAL HEALTH MEASURES: DEVELOPMENT, REEVALUATION,&MAINTENANCE"
FEDERAL COMMUNICATIONS COMMISSION (FCC),FINANCIAL OPERATIONS SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"IGF::OT::IGF - INTERNATIONAL TECHNICAL, OPERATIONAL AND PROFESSIONAL SUPPORT SERVICES"
DEPARTMENT OF JUSTICE (DOJ),CONDUCT PERFORMANCE EVALUATIONS AND TESTING OF NEW TOOLS AND ALGORITHMS IN THE DASL. ASSISTING THE BCOE IN THE DEFINITION AND USE CASES BASED OFF OF NEEDS IDENTIFIED FROM POTENTIAL USERS OF A VOICE PILOT BEST PRACTICES. INNOCENCE LOST DATABASE (ILD; IGF::OT::IGF
DEPARTMENT OF DEFENSE (DOD),DDG 1000 PSA-A INDUSTRIAL EFFORTS AND MATERIAL
DEPARTMENT OF THE TREASURY (TREAS),"IGF::CL::IGF FOR CLOSELY ASSOCIATED  VALVERDE, ERNEST; NEW CONTRACT"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),TASK ORDER 75N93020D00006/75N93020F00002: MAINTENANCE OF NONHUMAN PRIMATES IN AN ABSL2/3 FACILITY
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0246-15; E-269-2009/0-ES-12; PASTAN; PATENT LEGAL SERVICE; (LAMBERTSON)
DEPARTMENT OF DEFENSE (DOD),SPEARR ECP
DEPARTMENT OF DEFENSE (DOD),SPACE SITUALTIONAL AWARENESS CHARACTERIZATION AND ASSESSMENT
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"SOFIA NEXT GENERATION SCIENCE INSTRUMENT SOLICITATION DEVELOPMENT AND SUPPORT PER THE ATTACHED TASK PLAN, ATTACHMENT 1.  PERFORMANCE OF THIS TASK ORDER SUBJECT TO THE APPROVAL OF OCI MITIGATION PLAN AND WAIVER AS APPROPRIATE."
DEPARTMENT OF DEFENSE (DOD),IGF::CT::IGF
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PROCUREMENT OF CORONAVIRUS DISEASE (COVID-19) PROFESSIONAL AND SCIENTIFIC SUPPORT SERVICES.
DEPARTMENT OF THE TREASURY (TREAS),"JOY-HOGG, SABRINA B.    OFFICE OF THE TECHNICAL ASSISTAN  (BDGT)"
DEPARTMENT OF DEFENSE (DOD),LABOR BASE YEAR
DEPARTMENT OF DEFENSE (DOD),TASK ORDER FOR AMCOM SAFETY OFFICE SUPPORT SERVICES.
DEPARTMENT OF JUSTICE (DOJ),PITNEY BOWES METERING SERVICE TO SUPPORT OUR OFFICE.
DEPARTMENT OF DEFENSE (DOD),CONTROL SYSTEMS TEST BED
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"NIAID PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SUPPORT SERVICES FOR OFFICE OF THE DIRECTOR/OFFICE OF SCIENTIFIC MANAGEMENT AND OPERATIONS (OD/OSMO)"
