awarding_agency_name,award_description,doc,ents,text,label,status
Interrior,"SUPPLY, MODIFICATION NO. 1 - THIS MODIFICATION IS BEING ISSUED TO DE-OBLIGATE THE FULL BALANCE OF $2,128.53 FOR REPLACEMENT ENFORCEMENT DUTY FIREARMS AND CANCEL THIS PURCHASE ORDER, FOR NPS, MARTIN LUTHER KING JR.","SUPPLY, MODIFICATION NO. 1 - THIS MODIFICATION IS BEING ISSUED TO DE-OBLIGATE THE FULL BALANCE OF $2,128.53 FOR REPLACEMENT ENFORCEMENT DUTY FIREARMS AND CANCEL THIS PURCHASE ORDER, FOR NPS, MARTIN LUTHER KING JR.","(191, 212, 'MARTIN LUTHER KING JR', 'PERSON')",MARTIN LUTHER KING JR,PERSON,
Interrior,"PURPOSE OF MODIFICATION P00001 IS TO DEOBLIGATE PRIOR YEAR FUNDS CLIN 010: ASSESSMENT OF BENTHIC MACRO INVERTEBRATE RESPONSE TO ANTIMYCIN DURING BROOK TROUT, GRSM-KULP-FY17 TENNESSEE TECH","PURPOSE OF MODIFICATION P00001 IS TO DEOBLIGATE PRIOR YEAR FUNDS CLIN 010: ASSESSMENT OF BENTHIC MACRO INVERTEBRATE RESPONSE TO ANTIMYCIN DURING BROOK TROUT, GRSM-KULP-FY17 TENNESSEE TECH","(37, 47, 'DEOBLIGATE', 'PERSON')",DEOBLIGATE,PERSON,
Interrior,"PURPOSE OF MODIFICATION P00001 IS TO DEOBLIGATE PRIOR YEAR FUNDS CLIN 010: ASSESSMENT OF BENTHIC MACRO INVERTEBRATE RESPONSE TO ANTIMYCIN DURING BROOK TROUT, GRSM-KULP-FY17 TENNESSEE TECH","PURPOSE OF MODIFICATION P00001 IS TO DEOBLIGATE PRIOR YEAR FUNDS CLIN 010: ASSESSMENT OF BENTHIC MACRO INVERTEBRATE RESPONSE TO ANTIMYCIN DURING BROOK TROUT, GRSM-KULP-FY17 TENNESSEE TECH","(128, 137, 'ANTIMYCIN', 'PERSON')",ANTIMYCIN,PERSON,
Interrior,LA POSA LTVA TRASH REMOVAL SERVICES,LA POSA LTVA TRASH REMOVAL SERVICES,"(0, 26, 'LA POSA LTVA TRASH REMOVAL', 'PERSON')",LA POSA LTVA TRASH REMOVAL,PERSON,
Interrior,"REPLACE LOST MAN CREEK BRIDGES, REDWOOD NATIONAL PARK, HUMBOLDT COUNTY, CALIFORNIA.","REPLACE LOST MAN CREEK BRIDGES, REDWOOD NATIONAL PARK, HUMBOLDT COUNTY, CALIFORNIA.","(13, 30, 'MAN CREEK BRIDGES', 'PERSON')",MAN CREEK BRIDGES,PERSON,
Interrior,LAW ENFORCEMENT TOOLS FOR INVESTIGATING ALTERNATIVE CRYPTOCURRENCIES,LAW ENFORCEMENT TOOLS FOR INVESTIGATING ALTERNATIVE CRYPTOCURRENCIES,"(52, 68, 'CRYPTOCURRENCIES', 'PERSON')",CRYPTOCURRENCIES,PERSON,
Interrior,"GRAND TETON NATIONAL PARK - MORAN GROUNDWATER MONITORING WELL  THE PROJECT IS LOCATED WITHIN GRAND TETON NATIONAL PARK (GRTE) NEAR MORAN, WY.  THE CONTRACT WORK INCLUDES ALL LABOR, SUPERVISION, TRANSPORTATION, EQUIPMENT, TOOLS, SUPPLIES AND MATERIA","GRAND TETON NATIONAL PARK - MORAN GROUNDWATER MONITORING WELL  THE PROJECT IS LOCATED WITHIN GRAND TETON NATIONAL PARK (GRTE) NEAR MORAN, WY.  THE CONTRACT WORK INCLUDES ALL LABOR, SUPERVISION, TRANSPORTATION, EQUIPMENT, TOOLS, SUPPLIES AND MATERIA","(131, 136, 'MORAN', 'PERSON')",MORAN,PERSON,
Interrior,PROCESS MARY MCLEOD BETHUNE COUNCIL HOUSE NATIONAL HISTORIC SITE ARCHIVAL COLLECTIONS,PROCESS MARY MCLEOD BETHUNE COUNCIL HOUSE NATIONAL HISTORIC SITE ARCHIVAL COLLECTIONS,"(8, 27, 'MARY MCLEOD BETHUNE', 'PERSON')",MARY MCLEOD BETHUNE,PERSON,
Interrior,CREAMLAND DARIRIES - CROWNPOINT COMM. SC,CREAMLAND DARIRIES - CROWNPOINT COMM. SC,"(0, 31, 'CREAMLAND DARIRIES - CROWNPOINT', 'PERSON')",CREAMLAND DARIRIES - CROWNPOINT,PERSON,
Interrior,MOD P00001 OR-EAGLE CRK NFH-FLYGT PUMP REPLACEMENT,MOD P00001 OR-EAGLE CRK NFH-FLYGT PUMP REPLACEMENT,"(14, 50, 'EAGLE CRK NFH-FLYGT PUMP REPLACEMENT', 'PERSON')",EAGLE CRK NFH-FLYGT PUMP REPLACEMENT,PERSON,
Interrior,"DAN SAYLER - OPERATOR FOR SITE CA50 SAGEHEN CREEK (NEVADA COUNTY, CA)- ACID PRECIP","DAN SAYLER - OPERATOR FOR SITE CA50 SAGEHEN CREEK (NEVADA COUNTY, CA)- ACID PRECIP","(0, 12, 'DAN SAYLER -', 'PERSON')",DAN SAYLER -,PERSON,
Interrior,TAYLOR BROWN - SSC,TAYLOR BROWN - SSC,"(0, 18, 'TAYLOR BROWN - SSC', 'PERSON')",TAYLOR BROWN - SSC,PERSON,
