awarding_agency_name,award_description,doc,ents,text,label,status
Education,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE DELIVERABLES UNDER SECTION 13 FOR DELIVERABLES.,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE DELIVERABLES UNDER SECTION 13 FOR DELIVERABLES.,"(50, 62, 'DELIVERABLES', 'PERSON')",DELIVERABLES,PERSON,
Education,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE DELIVERABLES UNDER SECTION 13 FOR DELIVERABLES.,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE DELIVERABLES UNDER SECTION 13 FOR DELIVERABLES.,"(84, 96, 'DELIVERABLES', 'PERSON')",DELIVERABLES,PERSON,
Education,THE PURPOSE OF THIS MODIFICATION IS TO MODIFY THE DELIVERABLES ON THIS BPA CALL.,THE PURPOSE OF THIS MODIFICATION IS TO MODIFY THE DELIVERABLES ON THIS BPA CALL.,"(50, 62, 'DELIVERABLES', 'PERSON')",DELIVERABLES,PERSON,
Education,"FSA HAS ESTABLISHED A CUSTOMER-TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE -$383.51 FY19 FUNDING AND CLOSEOUT THIS CONTRACT.","FSA HAS ESTABLISHED A CUSTOMER-TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE -$383.51 FY19 FUNDING AND CLOSEOUT THIS CONTRACT.","(267, 277, 'DEOBLIGATE', 'PERSON')",DEOBLIGATE,PERSON,
Education,"FEDERAL STUDENT AID (FSA) HAS ESTABLISHED A CUSTOMER TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION P00004 IS TO CHANGE THE CONTRACTING OFFICER FROM PENNIE SUMMERS TO MARK BENSON AND THE CONTRACT SPECIALIST FROM HYUNSUE KIM TO SARAH SHEA, EFFECTIVE IMMEDIATELY.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","FEDERAL STUDENT AID (FSA) HAS ESTABLISHED A CUSTOMER TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION P00004 IS TO CHANGE THE CONTRACTING OFFICER FROM PENNIE SUMMERS TO MARK BENSON AND THE CONTRACT SPECIALIST FROM HYUNSUE KIM TO SARAH SHEA, EFFECTIVE IMMEDIATELY.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","(350, 361, 'MARK BENSON', 'PERSON')",MARK BENSON,PERSON,1
Education,"FEDERAL STUDENT AID (FSA) HAS ESTABLISHED A CUSTOMER TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION P00004 IS TO CHANGE THE CONTRACTING OFFICER FROM PENNIE SUMMERS TO MARK BENSON AND THE CONTRACT SPECIALIST FROM HYUNSUE KIM TO SARAH SHEA, EFFECTIVE IMMEDIATELY.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","FEDERAL STUDENT AID (FSA) HAS ESTABLISHED A CUSTOMER TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION P00004 IS TO CHANGE THE CONTRACTING OFFICER FROM PENNIE SUMMERS TO MARK BENSON AND THE CONTRACT SPECIALIST FROM HYUNSUE KIM TO SARAH SHEA, EFFECTIVE IMMEDIATELY.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","(403, 406, 'KIM', 'PERSON')",KIM,PERSON,1
Education,"FEDERAL STUDENT AID (FSA) HAS ESTABLISHED A CUSTOMER TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION P00004 IS TO CHANGE THE CONTRACTING OFFICER FROM PENNIE SUMMERS TO MARK BENSON AND THE CONTRACT SPECIALIST FROM HYUNSUE KIM TO SARAH SHEA, EFFECTIVE IMMEDIATELY.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","FEDERAL STUDENT AID (FSA) HAS ESTABLISHED A CUSTOMER TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION P00004 IS TO CHANGE THE CONTRACTING OFFICER FROM PENNIE SUMMERS TO MARK BENSON AND THE CONTRACT SPECIALIST FROM HYUNSUE KIM TO SARAH SHEA, EFFECTIVE IMMEDIATELY.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","(410, 420, 'SARAH SHEA', 'PERSON')",SARAH SHEA,PERSON,1
Education,"THE PURPOSE OF THIS MODIFICATION IS TO: 1. TERMINATE YVETTE BRYANT AS THE COR (SEE ATTACHED) 2. EXTEND THE PERIOD OF PERFORMANCE FROM JUNE 28, 2020 THRU JULY 28, 2020. THE TOTAL CONTRACT VALUE IS HEREBY INCREASED BY $3,749,644.81   FROM $116,501,943.63 TO $120,251,608.44.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.","THE PURPOSE OF THIS MODIFICATION IS TO: 1. TERMINATE YVETTE BRYANT AS THE COR (SEE ATTACHED) 2. EXTEND THE PERIOD OF PERFORMANCE FROM JUNE 28, 2020 THRU JULY 28, 2020. THE TOTAL CONTRACT VALUE IS HEREBY INCREASED BY $3,749,644.81   FROM $116,501,943.63 TO $120,251,608.44.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.","(53, 66, 'YVETTE BRYANT', 'PERSON')",YVETTE BRYANT,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM ANDREW JERNELL TO CAROLYN DICKENS IN ADDITION TO ADDING YVETTE BRYANT AS AN ALTERNATE COR  (SEE ATTACHED).  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM ANDREW JERNELL TO CAROLYN DICKENS IN ADDITION TO ADDING YVETTE BRYANT AS AN ALTERNATE COR  (SEE ATTACHED).  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,"(85, 99, 'ANDREW JERNELL', 'PERSON')",ANDREW JERNELL TO,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM ANDREW JERNELL TO CAROLYN DICKENS IN ADDITION TO ADDING YVETTE BRYANT AS AN ALTERNATE COR  (SEE ATTACHED).  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM ANDREW JERNELL TO CAROLYN DICKENS IN ADDITION TO ADDING YVETTE BRYANT AS AN ALTERNATE COR  (SEE ATTACHED).  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,"(103, 118, 'CAROLYN DICKENS', 'PERSON')",CAROLYN DICKENS,PERSON,1
